filename,layout_type,publiceringsnummer_ai,publiceringsdatum_ai,utläggningsdatum_ai,dokumentkod_ai,ansökningsnummer_ai,ansökningsdatum_ai,giltighetsdatum_ai,patenthavare_ai,uppfinnare_ai,benämning_ai,klass_ai,IPC_ai,comments
SE105400.C1.pdf,,N2 105400,19420901,,C1,3827/1940,19401000,19401009,"AKTIEBOLAGET SEPARATOR, STOCKHOLM",T. V. Hanno,Sätt att framställa en fiskprodukt,53: g: 4-02,,
SE161805.C1.pdf,,161805,19580107,,C1,5338/1952,19520613,19520613,"CHAMBON LTD., LONDON, STORBRITANNIEN",J Groak,Silkscreen- och/eller stenciltryckmaskin,15 d:37,B 41 f,
SE184451.C1.pdf,,184451,19630716,,C1,9296/1956,19561013,19561013,"G TRUCCO, SAN REMO, ITALIEN",,Ljusfontän,4 b:20,F 21 c,
SE184452.C1.pdf,,184452,19630716,,C1,2436/1955,19550314,19550314,"N. V. KANTOORBOEKENFABRIEK ""ATLANTA"" v/H FF BEUKEMA, HOOGEZAND, NEDERLÄNDERNA",J Pilkes,Anordning vid ryttare för mappar eller kort,B 42 f,11 e:28/04,
SE189483.C1.pdf,,189483,19640526,19631014,C1,6439/1959,19590708,19590708,"THE CONSOLIDATED PNEUMATIC TOOL Co. LTD., LONDON, STORBRITANNIEN",C G Stephen,Pneumatiskt driven stötborrmaskin med vattentillförselrör till ett ihåligt borrstål,5 b:9/04,E 21 c,
SE189484.C1.pdf,,189484,19640526,19631014,C1,3939/1963,19630409,19630409,"HUPP CORP., CLEVELAND, OHIO, USA",RE Davison | M E Davison | L Davison,Maskin för kemisk tvätt,D 06 b,D06B,
SE189485.C1.pdf,,189485,19640526,19631014,C1,4936/1960,19600519,19600519,"UNIVERSAL OIL PRODUCTS Co., DES PLAINES, ILL., USA",L O Stine | D B Broughton,Kontinuerlig sorptionsprocess,12 e:3/02,B 01 d,
SE200768.C1.pdf,,200768,19660104,19650329,C1,13053/1961,19611228,19611228,"STEDMAN MFG Co., ASHEBORO, N.C. USA",S W Stedman | W D Stedman,Anordning vid kalsonger,3 a1:9/02,A41b 9/02,
SE200769.C1.pdf,,200769,19660104,19650329,C1,4180/1962,19620413,19620413,"ATLAS CОРСO АB, NACKA",A G Kvello-Aune,Anordning för tillförsel av fluidum till en borrsträng,5 a:31/10,E 21 b21/02,
SE200770.C1.pdf,,200770,19660104,19650329,C1,1882/1958,19580226,19580226,"E O PERSSON, NÄLDEN","E O PERSSON, NÄLDEN",Anordning för borrning av hål med stor diameter i fast mark,5 c:3,E21d,
SE200771.C1.pdf,,200771,19660104,19650329,C1,10111/1955,19551110,19551110,"SVENSKA AEROPLAN AB, LINKÖPING",H Möller,Hydraulisk press för formning av plåt,7 c:14,B21d,
SE204780.C1.pdf,,204780,19660531,19651004,C1,1766/1963,19630218,19630218,"PLRPAINDAVOINE, GANGES, FRANKRIKE",,Sätt vid tillverkning av fronten till korta kalsonger,A41 b9/02 3 a:8/01,A41b9/02 3a:8/01,
SE204781.C1.pdf,,204781,19660531,19650920,C1,12459/1961,19611213,19611213,"GENERAL ELECTRIC Co., SCHENECTADY, N.Y., USA",J Bochan,Kombinerad tvätt- och torkmaskin,8 d:6/30,D06 f,
SE213380.C1.pdf,,213380,19670606,19661031,C1,5774/59,19590617,19590617,"AMERICAN CYANAMID COMPANY, NEW YORK, N.Y. USA",J RD McCormick | N H Arnold | U Hirsch | P A Miller | NO Sjolander,"Förfarande för framställning av en ny substans, benämnd ""kosyntesfaktor 1"", genom odling av en stam av Streptomyces",C12 d13/02 6 b:16/03,C12 d13/02,
SE213381.C1.pdf,,213381,19670606,19661231,C1,11322/62,19621022,19621022,"COMPAGNIE DU FILAGE DES MÉTAUX ET DES JOINTS CURTY (CEFILAC), PARIS, FRANKRIKE",J Sejournet,Sätt att strängpressa metaller och legeringar vid hög temperatur,7 b:10/10,B21 c,
SE213383.C1.pdf,,213383,19670606,19691031,C1,3895/64,19640331,19640331,"RIGBY & MELLOR LTD, BURY, STORBRITANNIEN",TP Rigby,Torkmaskin,8 b:3,F26b,
SE213384.C1.pdf,,213384,19670606,19661031,C1,191/62,19620109,19620109,"G. BAUKNECHT GMBH ELEKTROTECHNISCHE FABRIKEN, STUTTGART, FÖRBUNDSREPUBLIKËN TYSKLAND",W Büssing | P Dannemann | K Sautter | R Engel | D Härlin,Tvättmaskin,8 d:6/30,D06 f,
SE213385.C1.pdf,,213385,19670606,19661031,C1,3953/62,19620410,19620410,"NV ONDERZOEKINGSINSTITUUT RESEARCH, ARNHEM, NEDERLÄNDERNA | OCH BARMER MASCHINENFABRIK AG, REMSCHEID-LENNEP | FÖRBUNDSREPUBLIKEN TYSKLAND",KH Schippers | R Sluijters,Vätskeblandare utan rörliga delar,12 e:4/01,B01 f,
SE213387.C1.pdf,,213387,19670606,19661031,C1,5444/62,19620515,19620515,"ZÁVODY NA VÝROBU VZDUCHOTECHNICKÝCH ZAŘIZENÍ NP, | MILEVSKO, TJECKOSLOVAKIEN",B Klobouk,"Sätt att rena varm gas, företrädesvis masugnsgas",12 e:5,B03 c,
SE227869.C1.pdf,,227869,19780314,19671223,C1,642/61,19610123,19610123,"SHELL INTERNATIONALE RESEARCH MIJ NV, HAAG, NL",C W Schroeder | HE Lunk | ME Doyle,Sätt att framställa polystyren med hög slaghållfasthet,C 08 F 279/02,C08F279/02,
