filename,layout_type,publiceringsnummer_ai,dokumentkod_ai,publiceringsdatum_ai,ansokningsnummer_ai,ansokningsdatum_ai,giltighetsdatum_ai,prioritetsdatum_ai,prioritetsnummer_ai,prioritetsland_ai,sokande_ai,uppfinnare_ai,benamning_ai,klass_ai,IPC_ai,comments
SE105400.C1.pdf,,2105400,C1,19420901,3827/1940,19400610,19420702,,,,,T. V. Hanno,Sätt att framställa en fiskprodukt,53: g: 4-02,,
SE161805.C1.pdf,,161805,C1,19580107,5338/1952,19520613,19571030,19510615,30 maj 1952,Storbritannien,CHAMBON LTD. (GB),J Groak (GB),Silkscreen- och/eller stenciltryckmaskin,15 d:37,B41F,
SE184451.C1.pdf,,184451,C1,19630716,9296/1956,19561013,,19551015,,IT,G TRUCCO (IT),,Ljusfontän,4 b:20,F21C,
SE184452.C1.pdf,,184452,C1,19630716,2436/1955,19550314,19550314,19550209,,NEDERLÄNDERNA,"N. V. KANTOORBOEKENFABRIEK ""ATLANTA"" v/H FF BEUKEMA (NEDERLÄNDERNA)",J Pilkes,Anordning vid ryttare för mappar eller kort,11 e:28/04,B42f,
SE189483.C1.pdf,,189483,C1,19640526,6439/1959,19590708,,19580708,,Storbritannien,,C G Stephen (Storbritannien),Pneumatiskt driven stötborrmaskin med vattentillförselrör till ett ihåligt borrstål,5 b:9/04,E21c,
SE189484.C1.pdf,,189484,C1,19640526,3939/1963,19630409,,19620410,,USA,HUPP CORP. (US),RE Davison | M E Davison | L Davison,Maskin för kemisk tvätt,8 a:5/01,D06B,
SE189485.C1.pdf,,189485,C1,19640526,4936/1960,19600519,19631014,19590520,,USA,UNIVERSAL OIL PRODUCTS Co. (USA),L O Stine | D B Broughton,Kontinuerlig sorptionsprocess,12 e:3/02,B01d,
SE200768.C1.pdf,,200768,C1,19660104,130531961,19611228,19650329,19610104,,USA,STEDMAN MFG Co. (USA),S W Stedman | W D Stedman,Anordning vid kalsonger,3a1:9/02,A41B9/02,
SE200769.C1.pdf,,200769,C1,19660104,4180/1962,19620413,19650329,19610415,,NO,ATLAS CОРСO АB (SE),A G Kvello-Aune,Anordning för tillförsel av fluidum till en borrsträng,5 a:31/10,E21B21/02,
SE200770.C1.pdf,,200770,C1,19660104,1882/1958,19580226,19650329,,,,E O PERSSON (NÄLDEN),E O PERSSON (NÄLDEN),Anordning för borrning av hål med stor diameter i fast mark,5 c:3,E21d,
SE200771.C1.pdf,,200771,C1,19660104,10111/1955,19551110,19650329,,,,SVENSKA AEROPLAN AB (SE),H Möller,Hydraulisk press för formning av plåt,7 c:14,B21d,
SE204780.C1.pdf,,204780,C1,19660531,1766/1963,19630218,19651004,19620220,888610,FR,PLRPAINDAVOINE (FR) | GANGES (FR) | FRANKRIKE (FR),,Sätt vid tillverkning av fronten till korta kalsonger,3 a:8/01,A41B9/02,
SE204781.C1.pdf,,204781,C1,19660531,12459/1961,19611213,19650920,19601214,4206,US,GENERAL ELECTRIC Co. (US),J Bochan,Kombinerad tvätt- och torkmaskin,8 d:6/30,D06F,
SE213380.C1.pdf,,213380,C1,19670606,5774/59,19590617,19661031,19580620,743424,USA,AMERICAN CYANAMID COMPANY (USA),J RD McCormick | N H Arnold | U Hirsch | P A Miller | NO Sjolander,"Förfarande för framställning av en ny substans, benämnd ""kosyntesfaktor 1"", genom odling av en stam av Streptomyces",6 b:16/03,C12d13/02,
SE213381.C1.pdf,,213381,C1,19670606,11322/62,19621222,19661231,19620320,891697,FR,COMPAGNIE DU FILAGE DES MÉTAUX ET DES JOINTS CURTY (CEFILAC) (FR),J Sejournet,Sätt att strängpressa metaller och legeringar vid hög temperatur,7 b:10/10,B21C,
SE213383.C1.pdf,,213383,C1,19670606,3895/64,19640331,,19630330,12700,Storbritannien,RIGBY & MELLOR LTD (GB),TP Rigby,Torkmaskin,8 b:3,F26B9/02,
SE213385.C1.pdf,,213385,C1,19670606,3953/62,19620410,19661231,19610412,263534,Nederländerna,"NV ONDERZOEKINGSINSTITUUT RESEARCH, ARNHEM, NEDERLÄNDERNA | OCH BARMER MASCHINENFABRIK AG, REMSCHEID-LENNEP | FÖRBUNDSREPUBLIKEN TYSKLAND",KH Schippers | R Sluijters,Vätskeblandare utan rörliga delar,12 e:4/01,B01f,
SE213387.C1.pdf,,213387,C1,19670606,5444/62,19620515,19661231,19610516,2999,Tjeckoslovakien,ZÁVODY NA VÝROBU VZDUCHOTECHNICKÝCH ZAŘIZENÍ NP (TJECKOSLOVAKIEN),B Klobouk (TJECKOSLOVAKIEN),"Sätt att rena varm gas, företrädesvis masugnsgas",12 e:5,B03C,
