filename,layout_type,publiceringsnummer_ai,dokumentkod_ai,publiceringsdatum_ai,ansokningsnummer_ai,ansokningsdatum_ai,patenttid_fr_ai,prioritetsdatum_ai,prioritetsnummer_ai,prioritetsland_ai,sokande_ai,uppfinnare_ai,benamning_ai,klass_ai,IPC_ai,comments
SE105400.C1.pdf,,,,,,,,,,,,T. V. Hanno,Sätt att framställa en fiskprodukt,53: g: 4-02,,
SE161805.C1.pdf,,,,,,,,,,,CHAMBON LTD. (GB),J Groak,Silkscreen- och/eller stenciltryckmaskin,15 d:37,B41F,
SE184451.C1.pdf,,,,,,,,,,,G TRUCCO (IT),G TRUCCO (IT),Ljusfontän,4 b:20,F21C,
SE184452.C1.pdf,,,,,,,,,,,"N. V. KANTOORBOEKENFABRIEK ""ATLANTA"" v/H FF BEUKEMA (NEDERLÄNDERNA)",J Pilkes,Anordning vid ryttare för mappar eller kort,11 e:28/04,B42f,
SE189483.C1.pdf,,,,,,,,,,,"THE CONSOLIDATED PNEUMATIC TOOL Co. LTD., LONDON (GB)",C G Stephen (GB),Pneumatiskt driven stötborrmaskin med vattentillförselrör till ett ihåligt borrstål,5 b:9/04,E21c,
SE189484.C1.pdf,,,,,,,,,,,HUPP CORP. (US),RE Davison | M E Davison | L Davison,Maskin för kemisk tvätt,8 a:5/01,D06b,
SE189485.C1.pdf,,,,,,,,,,,UNIVERSAL OIL PRODUCTS Co. (USA),L O Stine | D B Broughton,Kontinuerlig sorptionsprocess,12 e:3/02,B01d,
SE200768.C1.pdf,,,,,,,,,,,STEDMAN MFG Co. (USA),S W Stedman | W D Stedman,Anordning vid kalsonger,3 a1:9/02,A41B9/02,
SE200769.C1.pdf,,,,,,,,,,,ATLAS CОРСO АB (SE),A G Kvello-Aune,Anordning för tillförsel av fluidum till en borrsträng,5 a:31/10,E21b21/02,
SE200770.C1.pdf,,,,,,,,,,,E O PERSSON (NÄLDEN),E O PERSSON (NÄLDEN),Anordning för borrning av hål med stor diameter i fast mark,5 c:3,E21d,
SE200771.C1.pdf,,,,,,,,,,,SVENSKA AEROPLAN AB (SE),H Möller,Hydraulisk press för formning av plåt,7 c:14,B21D,
SE204780.C1.pdf,,,,,,,,,,,"PLRPAINDAVOINE, GANGES, FRANKRIKE",,Sätt vid tillverkning av fronten till korta kalsonger,3 a:8/01,A41B9/02,
SE204781.C1.pdf,,,,,,,,,,,GENERAL ELECTRIC Co. (US),J Bochan,Kombinerad tvätt- och torkmaskin,D06 f,8 d:6/30,
SE213380.C1.pdf,,,,,,,,,,,AMERICAN CYANAMID COMPANY (USA),J RD McCormick | N H Arnold | U Hirsch | P A Miller | NO Sjolander,"Förfarande för framställning av en ny substans, benämnd ""kosyntesfaktor 1"", genom odling av en stam av Streptomyces",6 b:16/03,C12D13/02,
SE213381.C1.pdf,,,,,,,,,,,COMPAGNIE DU FILAGE DES MÉTAUX ET DES JOINTS CURTY (CEFILAC) (FR),J Sejournet,Sätt att strängpressa metaller och legeringar vid hög temperatur,7 b:10/10,B21C,
SE213383.C1.pdf,,,,,,,,,,,RIGBY & MELLOR LTD (GB),TP Rigby,Torkmaskin,8 b:3,F26B9/02,
SE213385.C1.pdf,,,,,,,,,,,"NV ONDERZOEKINGSINSTITUUT RESEARCH, ARNHEM, NEDERLÄNDERNA | OCH BARMER MASCHINENFABRIK AG, REMSCHEID-LENNEP | FÖRBUNDSREPUBLIKEN TYSKLAND",KH Schippers | R Sluijters,Vätskeblandare utan rörliga delar,12 e:4/01,B01F,
SE213387.C1.pdf,,,,,,,,,,,ZÁVODY NA VÝROBU VZDUCHOTECHNICKÝCH ZAŘIZENÍ NP (TJECKOSLOVAKIEN),B Klobouk,"Sätt att rena varm gas, företrädesvis masugnsgas",12 e:5,B03C,
